PointID,County,xcoord,ycoord,landusenum,Main_soil,Slope,CS_0_30,gS,mS,fS,gU,mU,fU,Sand,Silt,Clay,pH_H2O,EC_H2O,TC,TOC,TN,FSS,Water_cont,Stone_dens,BD_bulk,Rock_fragm
434,NI,393437.3188,5945417.012,1,MK,N0,75.63,0,0.2,5.1,26.9,18.9,9.1,5.3,54.9,39.8,6.09,197.5,22.79,22.79,2.53,1219.2,26.92,2.65,1.22,0.02490566
435,NI,402331.8817,5945630.303,2,MN,N0,88.52,0.1,0.3,7.6,30.1,18.8,10,8,58.9,33.1,5.26,97.8,67.37,67.37,6.2,635.5,94.91,2.65,0.65,0
436,NI,406983.4743,5944784.2,1,PP,N1,76.05,0.6,11.2,66.5,12.2,3,1.2,78.3,16.4,5.3,5.26,36.4,16.85,16.85,1.29,1368.2,15.36,2.65,1.37,0.049056604
437,NI,414387.8467,5944196.439,1,MC,N0.1,56.56,0,0.1,8.1,39.3,14.3,5.3,8.1,58.9,33,7.47,95.4,12.97,12.72,1.54,1440,31.2,2.65,1.44,0
438,NI,422914.9952,5941818.764,1,MC,N0,86.09,0.3,0.5,21.5,38.6,13.5,5.8,22.3,57.9,19.8,5.56,68.9,18.79,18.79,2.04,1296,33.38,2.65,1.3,0.097358491
439,NI,434992.7223,5943718.457,1,PPh,N1,132.58,1.3,8.7,65.1,12.5,3.2,1.8,75.1,17.6,7.3,6.06,55.4,35.06,35.06,2.17,1277.3,30.78,2.65,1.28,0.113207547
440,NI,475143.0508,5943113.708,2,KV,N0,298.13,1.5,19.3,31.8,12.1,9.9,5.9,52.5,27.9,19.6,5.02,288,163.3,163.3,13.7,608.9,92.57,2.65,0.61,0
441,NI,482071.876,5946882.431,2,KH,N0.1,256.78,0,0,0,0,0,0,0,0,0,4.65,186.1,411.16,411.16,20.37,329.5,96.67,2.65,0.33,0
443,NI,498574.9331,5946934.95,1,GG,N0,63.21,3.9,76.4,12.4,2.5,1.1,0.2,92.7,3.8,3.5,5.59,55.9,18.34,18.34,1.4,1161.6,10.96,2.65,1.28,3.386415094
445,NI,510765.139,5943931.141,1,PP,N0.2,121.11,2.1,71.1,20,2.6,1.2,0.7,93.2,4.4,2.4,5.08,78,27.9,27.9,1.57,1387.9,13.88,2.65,1.42,2.187169811
446,NI,522408.4655,5942249.539,2,MK,N0,79.23,0.1,0.7,25.4,38.7,9.9,4.5,26.1,53.1,20.8,6.02,134.6,38.63,38.63,3.52,886.9,18.14,2.65,0.91,0
447,NI,527213.243,5943503.872,2,MO,N0.2,257.22,0.3,2.7,3.1,13.2,21.2,12.6,6.1,47,46.9,5.5,307,138.32,138.32,11.83,568.4,79.13,2.65,0.57,0
449,SH,546672.4896,5943632.357,1,PP,N0,84.13,0.6,40.5,53.3,1.6,0.9,0.9,94.3,3.4,2.3,5.63,63.1,33.7,33.7,2.17,920,21.81,2.65,0.93,0.057358491
450,SH,554599.477,5943719.34,2,GG,N0,116.37,0.4,30.2,49.1,12,2.7,1.8,79.6,16.5,3.9,5.62,93.6,47.97,47.97,3.59,753.8,54.26,2.65,0.76,0
455,SH,595214.2673,5944666.335,2,BB,N0,51.27,4.6,22.4,36.8,16.8,7.2,3.9,63.8,27.9,8.3,5.88,36.1,12.34,12.34,1.06,1502.4,19.23,2.65,1.58,3.674716981
456,SH,598739.7872,5944602.28,1,SS,N1,125.18,3.3,14.3,43.4,15.9,6.3,4.1,61,26.3,12.7,6.49,98.5,36,36,3.2,1268.2,35.05,2.65,1.3,1.616603774
458,SH,618033.645,5948013.321,2,GG,N0,184.48,3.6,22.8,39.1,14.7,7.9,4.5,65.5,27.2,7.3,5.94,119,103.17,103.17,6.46,804.7,40.36,2.65,0.82,0.651320755
461,MV,639160.9421,5948307.117,1,BB,N2.2,55.76,10.8,36.8,22.3,10.9,7.1,3.9,69.9,21.9,8.2,6.75,113.9,17.73,17.73,1.44,1297.7,14.35,2.65,1.38,3.445283019
462,MV,648948.4116,5945707.87,1,RZ,N2.2,44.73,3.9,17.6,35.4,13.9,7.9,5.1,56.9,26.9,16.2,7.75,118,12.19,11.17,1.14,1238.2,15.45,2.65,1.33,5.04
464,MV,665735.418,5944383.843,1,YK,N1,54.87,5.5,18.8,36.2,17.9,9.5,4.5,60.5,31.8,7.7,4.96,89.5,12.26,12.26,1.04,1455,8.03,2.65,1.49,1.603773585
469,MV,704109.6546,5949315.956,2,KM,N0.2,248.49,16.2,54.5,12.7,4,2.7,1.5,83.4,8.3,8.3,6.88,274,171.5,168.92,15.79,480.9,79.83,2.65,0.5,1.586415094
